"Is Laundering" "From Account" "To Account" "Payment Type" "Amount Paid" "Type Account From" "Type Account To" "Avg Stock Account From" "Avg Stock Account To"
1 "U0551" "U2203" "Cheque" 186509.285 "B" "B" 308533361.047 1144577.897
0 "U4572" "U9001" "ACH" 439.995 "D" "B" 37526.141 2084650.425
1 "U0551" "U2203" "Cheque" 186711.187 "E" "B" 308532855.955 1144922.015
0 "U1223" "U7781" "ACH" 958.824 "A" "D" 86750.15 3313102.013
1 "U0551" "U2203" "Cash" 188971.312 "B" "B" 308532096.688 1143957.237
1 "U0551" "U2203" "ACH" 188030.351 "E" "B" 308532194.39 1144740.537
1 "U0551" "U2203" "ACH" 187463.313 "A" "B" 308533153.452 1145048.811
0 "U00412" "U09626" "Cheque" 2034645.5 "E" "D" 1218081.888 26983641.811
0 "U00438" "U00968" "Cheque" 236.008 "B" "D" 7373.357 558605.094
0 "U00464" "U03761" "Cheque" 2986.474 "A" "C" 11904337.763 42264652.381
0 "U00520" "U00690" "Credit Card" 213549.573 "B" "E" 751290.833 740296.923
0 "U00553" "U04773" "Cheque" 7137.294 "B" "B" 29706.614 540460.506
0 "U00749" "U02553" "Credit Card" 105.72 "B" "B" 422821.27 963551.435
0 "U00922" "U01416" "Cheque" 30936.41 "E" "B" 2826180.07 1096047.143
0 "U01441" "U00702" "Cheque" 1980.77 "B" "E" 12536.683 540482.648
0 "U01818" "U01205" "Cheque" 1455.733 "A" "E" 1152344.702 113912.613
0 "U01861" "U03449" "Cheque" 792.92 "B" "B" 3465283.729 13050.004
0 "U01995" "U03650" "Credit Card" 158820.748 "E" "E" 1732886.407 1256582.583
0 "U02204" "U08946" "Cheque" 4415.82 "D" "B" 955212.486 125221.975
0 "U02358" "U06114" "Credit Card" 151.68 "B" "A" 55400.643 928870.333
0 "U02712" "U07171" "Credit Card" 2.34 "B" "C" 5760.323 4949.196
0 "U03479" "U06754" "Cheque" 7986.306 "A" "B" 1225528.687 7114.41
0 "U03855" "U04081" "Cheque" 177.91 "C" "D" 79849.524 71318.49
0 "U03871" "U08221" "ACH" 24585.938 "C" "A" 94140.941 4084047.61
0 "U04067" "U03616" "ACH" 62663.009 "B" "B" 18498644.845 4182165.324
0 "U04376" "U00572" "Cheque" 2895.7 "A" "A" 521410.505 2277657.263
0 "U04556" "U04555" "Cheque" 1164.738 "B" "C" 156160.644 30347.309
0 "U04825" "U07984" "Cheque" 3156.218 "B" "E" 2365868.683 17833.764
0 "U04909" "U08218" "Cheque" 3381.589 "C" "B" 890193.468 7108.841
0 "U04931" "U01232" "Credit Card" 14.35 "A" "B" 1572.784 25854179.238
0 "U05171" "U06806" "Cheque" 2379.519 "A" "E" 17751128.497 42248.056
0 "U05405" "U04828" "Cheque" 3834.943 "D" "F" 1877594.128 706398.28
0 "U05983" "U09638" "Cheque" 1013.08 "B" "E" 21398.934 1155173.954
0 "U06061" "U06361" "ACH" 112.106 "B" "B" 3859.227 25880.891
0 "U06841" "U08363" "Credit Card" 48.75 "B" "E" 110604.838 13960321.136
0 "U07127" "U05640" "Credit Card" 7.32 "D" "A" 18808.212 6698.841
0 "U07216" "U00467" "Cheque" 1237.786 "E" "F" 5136.264 215559.684
0 "U07732" "U00787" "Credit Card" 25748.927 "A" "E" 69891.666 2623158.246
0 "U08735" "U08245" "Credit Card" 5694.1 "D" "F" 21828.022 11283.442
0 "U09603" "U03021" "Cheque" 1896.052 "B" "A" 18176562.536 4509768.364
0 "U09882" "U09769" "ACH" 1816.85 "B" "A" 12901.503 7334280.022
0 "U10188" "U07483" "Cheque" 0.6 "B" "C" 11327.356 3668848.286
0 "U10546" "U08522" "Cheque" 0.12 "B" "A" 1416253.816 32261.532
0 "U11766" "U01253" "Cheque" 2262.26 "C" "A" 17256.803 9990428.486
0 "U00006" "U06948" "Cheque" 22762.05 "B" "F" 369186.944 28494.984
0 "U00032" "U01811" "Wire" 2639975.84 "E" "E" 3164102.805 309669770.005
0 "U00140" "U03708" "Cheque" 8636.913 "F" "B" 1879698.618 202051274.156
0 "U00235" "U09018" "Cheque" 1361.95 "B" "B" 15802.959 2288190.37
0 "U00464" "U02165" "Cheque" 190.2 "B" "F" 11904012.485 245403.506
0 "U00813" "U06657" "Credit Card" 61870.156 "B" "F" 1565446.152 12391.903
0 "U00843" "U09005" "ACH" 1176.508 "F" "D" 530069.754 39269.103
0 "U01615" "U09203" "Credit Card" 35.12 "D" "E" 5400.777 1052762.493
0 "U01706" "U06136" "Cheque" 3249.69 "A" "C" 2952631.341 63870.432
0 "U02317" "U08192" "Cheque" 1120593.867 "F" "B" 1969763.177 2426.468
0 "U02618" "U00477" "Cheque" 1980.817 "E" "F" 135896.844 23742.512
0 "U02737" "U06781" "Credit Card" 10952.011 "B" "C" 21698.399 4442278.665
0 "U03357" "U07421" "ACH" 1002.782 "C" "D" 311090.564 4812996.194
0 "U04368" "U03544" "Credit Card" 1072.625 "A" "A" 5848250.238 161817611.297
0 "U04455" "U05199" "Credit Card" 128.63 "E" "E" 385836.12 8179665.213
0 "U04504" "U00680" "Credit Card" 994.3 "E" "C" 7161146.786 1181245.398
0 "U04742" "U09725" "Cheque" 9661.72 "A" "D" 422833.007 3462834.771
0 "U04763" "U06351" "Credit Card" 23742.742 "E" "D" 25588529.723 11205.149
0 "U04835" "U09726" "Cheque" 508997.545 "D" "F" 1638696.831 212891.737
0 "U05091" "U04970" "Cheque" 18510.98 "D" "B" 1411953.79 148228348.463
0 "U05218" "U09714" "Cheque" 3460.14 "C" "A" 17641628.979 15442.743
0 "U05562" "U05791" "ACH" 383.821 "D" "D" 289638.365 2627932.591
0 "U05707" "U08150" "Credit Card" 222.13 "B" "E" 14179.609 176948.857
0 "U05732" "U07088" "ACH" 951.228 "A" "C" 147992.71 2309319.962
0 "U06272" "U05608" "Cheque" 3444.841 "E" "E" 3583355.683 2537551.048
0 "U08066" "U09378" "Cheque" 1004.696 "F" "D" 6053.537 98768.974
0 "U08629" "U08467" "Cheque" 4012.381 "C" "E" 8778378.244 42556318.609
0 "U08754" "U06851" "Cheque" 578365.11 "F" "C" 3613929.141 499276.414
0 "U08858" "U06751" "Credit Card" 9.22 "B" "E" 7309.054 414908.296
0 "U09467" "U00499" "Credit Card" 738.81 "A" "D" 7767.115 705705.776
0 "U09881" "U00401" "Cheque" 4711.25 "C" "E" 702742.998 4016.989
0 "U10328" "U07789" "Cheque" 0.41 "E" "A" 4225.169 18632.875
0 "U11841" "U09140" "ACH" 839.33 "F" "A" 1289604.872 4603867.673
0 "U12102" "U09190" "Cheque" 0.29 "F" "E" 493178.858 736830.047
0 "U12521" "U04225" "Cash" 10500.077 "E" "D" 4667820.921 2841790.269
0 "U00121" "U02231" "Cheque" 53465.954 "B" "C" 13312749.718 17381878.518
0 "U00242" "U06758" "ACH" 821.347 "A" "E" 35099469.367 258201.764
0 "U00331" "U06500" "Cheque" 900.873 "E" "C" 18095.723 2014602.64
0 "U00464" "U06078" "Cheque" 61359.357 "E" "B" 11905279.561 461489.941
0 "U00464" "U06736" "Credit Card" 4168.512 "E" "B" 11905063.657 1329415.549
0 "U00833" "U08025" "Cheque" 113.98 "A" "C" 7706.793 12396377.835
0 "U00937" "U02771" "Cheque" 263471.038 "A" "A" 4324415.697 2817008.735
0 "U01463" "U03819" "Credit Card" 86.58 "A" "B" 5522267.435 542067.303
0 "U01476" "U01170" "Credit Card" 11648.227 "C" "F" 2214857.092 9734195.269
